,region,adm,location,media_0,inse_1,inse_2,inse_3,inse_4,inse_5,inse_6,inse_7,inse_8,year
1,Rondônia,Total,Total,4.86,0.31,14.51,21.45,23.77,18.83,11.27,8.43,1.42,2019
4,Rondônia,Total,Urbana,4.88,0.31,14.25,20.83,23.11,18.97,11.84,9.15,1.56,2019
7,Rondônia,Total,Rural,4.64,0.35,16.43,26.18,28.69,17.84,7.04,3.08,0.4,2019
10,Rondônia,Federal,Total,5.1,0.09,5.03,16.84,25.99,23.41,15.62,12.23,0.79,2019
13,Rondônia,Federal,Urbana,5.18,0,5.1,14.49,23.19,24.15,18.17,13.77,1.13,2019
16,Rondônia,Federal,Rural,4.91,0.29,4.86,22.34,32.56,21.66,9.66,8.63,0,2019
19,Rondônia,Estadual,Total,4.79,0.35,15.5,22.19,24.27,19.34,10.94,6.77,0.65,2019
22,Rondônia,Estadual,Urbana,4.8,0.34,15.41,22.06,24.27,19.36,11.04,6.86,0.66,2019
25,Rondônia,Estadual,Rural,4.59,0.48,19.58,27.63,24.43,18.35,6.53,2.88,0.13,2019
28,Rondônia,Municipal,Total,4.69,0.33,16.82,24.9,26.32,18.07,8.36,4.68,0.51,2019
31,Rondônia,Municipal,Urbana,4.74,0.31,16.44,23.86,25.17,18.55,9.44,5.6,0.63,2019
34,Rondônia,Municipal,Rural,4.58,0.37,17.82,27.62,29.31,16.81,5.57,2.31,0.19,2019
37,Rondônia,Privada,Total,5.84,0.06,1.32,4.84,10.64,17.57,23.39,32.33,9.85,2019
40,Rondônia,Privada,Urbana,5.91,0.06,0.97,4.06,8.86,16.68,23.66,35.09,10.62,2019
43,Rondônia,Privada,Rural,5.19,0,4.35,11.72,26.34,25.4,21.05,8.07,3.08,2019
55,Rondônia,Pública,Total,4.76,0.34,15.79,23.06,25.04,18.96,10.1,6.12,0.6,2019
58,Rondônia,Pública,Urbana,4.78,0.33,15.56,22.48,24.52,19.19,10.67,6.59,0.66,2019
61,Rondônia,Pública,Rural,4.6,0.38,17.43,27.38,28.88,17.22,5.87,2.66,0.18,2019
64,Acre,Total,Total,4.57,1.66,28,21.69,18.7,14.1,8.36,6.48,1.02,2019
67,Acre,Total,Urbana,4.64,1.18,25.45,21.15,19.26,15.14,9.27,7.35,1.19,2019
70,Acre,Total,Rural,4.13,4.29,42.3,24.74,15.52,8.21,3.24,1.58,0.11,2019
73,Acre,Federal,Total,4.97,0.21,16.28,10.6,22.25,23.18,16.36,9.99,1.12,2019
76,Acre,Federal,Urbana,4.97,0.21,16.28,10.6,22.25,23.18,16.36,9.99,1.12,2019
79,Acre,Federal,Rural,0,,,,,,,,,2019
82,Acre,Estadual,Total,4.54,1.25,27.51,22.41,20.22,14.86,8.06,5.15,0.54,2019
85,Acre,Estadual,Urbana,4.6,1.11,25.45,21.87,20.68,15.8,8.78,5.71,0.61,2019
88,Acre,Estadual,Rural,4.2,2.16,40.65,25.82,17.3,8.89,3.47,1.64,0.07,2019
91,Acre,Municipal,Total,4.29,3.37,36.52,24.4,16.53,10.14,5.5,2.99,0.54,2019
94,Acre,Municipal,Urbana,4.38,1.9,33.73,24.89,17.84,11.14,6.36,3.48,0.66,2019
97,Acre,Municipal,Rural,4.01,7.94,45.13,22.89,12.48,7.04,2.85,1.47,0.19,2019
100,Acre,Privada,Total,5.92,0,1.67,3.92,7.26,18.43,22.17,37.26,9.29,2019
103,Acre,Privada,Urbana,5.92,0,1.67,3.92,7.26,18.43,22.17,37.26,9.29,2019
106,Acre,Privada,Rural,0,,,,,,,,,2019
118,Acre,Pública,Total,4.49,1.75,29.52,22.71,19.36,13.85,7.56,4.7,0.55,2019
121,Acre,Pública,Urbana,4.56,1.27,27.08,22.33,20.09,14.92,8.39,5.3,0.63,2019
124,Acre,Pública,Rural,4.13,4.29,42.3,24.74,15.52,8.21,3.24,1.58,0.11,2019
127,Amazonas,Total,Total,4.55,3.1,27.55,21.76,18.36,12.92,8,7.04,1.26,2019
130,Amazonas,Total,Urbana,4.66,1.65,23.84,21.95,19.69,14.32,9.03,8.07,1.44,2019
133,Amazonas,Total,Rural,3.87,11.56,49.22,20.67,10.62,4.7,2,1.04,0.19,2019
136,Amazonas,Federal,Total,4.85,1.15,22.17,19.9,16.55,12.14,11.45,13.88,2.76,2019
139,Amazonas,Federal,Urbana,4.87,1.2,21.38,19.65,16.5,12.28,11.7,14.42,2.87,2019
142,Amazonas,Federal,Rural,4.22,0,42.35,26.28,17.88,8.5,4.99,0,0,2019
145,Amazonas,Estadual,Total,4.52,2.83,27.87,22.41,19.01,13.29,7.85,5.92,0.82,2019
148,Amazonas,Estadual,Urbana,4.6,1.7,24.9,22.69,20.2,14.46,8.62,6.53,0.9,2019
151,Amazonas,Estadual,Rural,3.8,12.3,52.66,20,9.11,3.49,1.46,0.83,0.16,2019
154,Amazonas,Municipal,Total,4.36,4.14,31.8,23.87,18.7,11.54,5.85,3.69,0.42,2019
157,Amazonas,Municipal,Urbana,4.49,1.94,27.06,24.71,20.91,13.44,6.97,4.49,0.49,2019
160,Amazonas,Municipal,Rural,3.92,11.13,46.88,21.18,11.67,5.51,2.29,1.13,0.21,2019
163,Amazonas,Privada,Total,5.89,0.04,1.24,4.05,10.67,17.37,21.09,35.6,9.94,2019
166,Amazonas,Privada,Urbana,5.89,0.04,1.13,4,10.62,17.38,21.1,35.73,10,2019
169,Amazonas,Privada,Rural,5.11,0,16.44,11.42,18,16.66,19.61,16.35,1.52,2019
181,Amazonas,Pública,Total,4.46,3.3,29.27,22.92,18.87,12.62,7.14,5.18,0.69,2019
184,Amazonas,Pública,Urbana,4.57,1.77,25.58,23.33,20.39,14.09,8.1,5.95,0.78,2019
187,Amazonas,Pública,Rural,3.87,11.6,49.32,20.69,10.6,4.66,1.95,0.99,0.19,2019
190,Roraima,Total,Total,4.72,3.22,22.58,18.85,18.21,14.66,10.43,10,2.04,2019
193,Roraima,Total,Urbana,4.88,1.43,18.04,18.49,19.44,16.4,12.02,11.83,2.36,2019
196,Roraima,Total,Rural,3.95,11.9,44.56,20.58,12.25,6.28,2.75,1.18,0.5,2019
199,Roraima,Federal,Total,5.22,0.81,12.47,12.22,17.17,18.48,16.58,16.53,5.75,2019
202,Roraima,Federal,Urbana,5.24,0.87,11.94,11.47,17.35,19.04,16.43,17.13,5.75,2019
205,Roraima,Federal,Rural,4.95,0,18.71,21.14,15.04,11.78,18.29,9.35,5.68,2019
208,Roraima,Estadual,Total,4.57,4.48,25.01,20.19,18.79,14.07,9.29,7.21,0.97,2019
211,Roraima,Estadual,Urbana,4.75,1.73,19.54,20.4,20.81,16.35,11.11,8.87,1.19,2019
214,Roraima,Estadual,Rural,3.84,15.17,46.25,19.34,10.96,5.21,2.21,0.75,0.12,2019
217,Roraima,Municipal,Total,4.66,1.93,23.78,20.43,19.7,15.71,10.07,7.33,1.05,2019
220,Roraima,Municipal,Urbana,4.75,1.37,20.44,19.86,20.6,17.05,11.3,8.35,1.03,2019
223,Roraima,Municipal,Rural,4.17,4.93,41.66,23.51,14.9,8.52,3.47,1.86,1.17,2019
226,Roraima,Privada,Total,6.04,0.17,1.7,3.48,7.35,13.35,18.92,41.46,13.57,2019
229,Roraima,Privada,Urbana,6.06,0,1.38,3.51,7.23,13.44,19.05,41.74,13.66,2019
232,Roraima,Privada,Rural,3.64,25,50,0,25,0,0,0,0,2019
244,Roraima,Pública,Total,4.62,3.47,24.25,20.08,19.08,14.77,9.75,7.48,1.12,2019
247,Roraima,Pública,Urbana,4.77,1.57,19.66,19.95,20.63,16.69,11.33,8.91,1.26,2019
250,Roraima,Pública,Rural,3.95,11.86,44.55,20.64,12.21,6.3,2.76,1.18,0.5,2019
253,Pará,Total,Total,4.31,5.06,35.74,21.7,16.2,10.29,5.74,4.52,0.75,2019
256,Pará,Total,Urbana,4.42,3.61,31.9,22.15,17.59,11.64,6.74,5.45,0.91,2019
259,Pará,Total,Rural,3.87,10.65,50.56,19.97,10.83,5.1,1.87,0.9,0.13,2019
262,Pará,Federal,Total,4.87,1.31,18.58,18.53,19.32,15.42,13.97,11.02,1.85,2019
265,Pará,Federal,Urbana,4.87,1.31,18.58,18.53,19.32,15.42,13.97,11.02,1.85,2019
268,Pará,Federal,Rural,0,,,,,,,,,2019
271,Pará,Estadual,Total,4.13,6.15,40.48,22.99,15.91,8.67,3.78,1.84,0.19,2019
274,Pará,Estadual,Urbana,4.16,5.73,39.28,23.31,16.5,9.06,3.98,1.94,0.2,2019
277,Pará,Estadual,Rural,3.84,10.54,53.01,19.6,9.69,4.57,1.68,0.82,0.11,2019
280,Pará,Municipal,Total,4.2,5.27,38.48,23.28,16.53,9.56,4.39,2.25,0.26,2019
283,Pará,Municipal,Urbana,4.35,2.66,32.83,24.8,19.2,11.69,5.59,2.91,0.32,2019
286,Pará,Municipal,Rural,3.87,10.73,50.27,20.08,10.95,5.1,1.88,0.87,0.12,2019
289,Pará,Privada,Total,5.55,0.09,4.17,8.42,15.23,20.06,19.91,26.61,5.51,2019
292,Pará,Privada,Urbana,5.56,0.09,3.93,8.37,15.11,20.05,20.07,26.82,5.56,2019
295,Pará,Privada,Rural,4.71,0.47,25.58,13.01,24.89,20.71,5.93,7.97,1.44,2019
307,Pará,Pública,Total,4.18,5.59,39.1,23.12,16.3,9.25,4.23,2.16,0.24,2019
310,Pará,Pública,Urbana,4.27,4.09,35.71,24.03,17.93,10.49,4.93,2.54,0.28,2019
313,Pará,Pública,Rural,3.87,10.7,50.69,20.01,10.75,5.01,1.85,0.86,0.12,2019
316,Amapá,Total,Total,4.69,1.58,22.59,22,19.93,14.27,9.55,8.54,1.54,2019
319,Amapá,Total,Urbana,4.78,1.13,19.85,21.27,20.48,15.4,10.52,9.63,1.73,2019
322,Amapá,Total,Rural,4.19,4.23,38.99,26.37,16.65,7.53,3.74,2.03,0.45,2019
325,Amapá,Federal,Total,4.83,0.81,16.08,21.19,22.65,16.31,12.54,9.13,1.28,2019
328,Amapá,Federal,Urbana,4.83,0.81,16.08,21.19,22.65,16.31,12.54,9.13,1.28,2019
331,Amapá,Federal,Rural,0,,,,,,,,,2019
334,Amapá,Estadual,Total,4.58,1.7,25.07,23.55,20.57,13.9,8.43,6,0.78,2019
337,Amapá,Estadual,Urbana,4.66,1.3,22.01,22.83,21.35,15.29,9.49,6.9,0.83,2019
340,Amapá,Estadual,Rural,4.19,3.57,39.56,26.98,16.88,7.33,3.41,1.74,0.52,2019
343,Amapá,Municipal,Total,4.55,1.89,24.36,24.62,22.1,14.05,7.48,4.95,0.55,2019
346,Amapá,Municipal,Urbana,4.59,1.23,22.66,24.7,22.94,14.86,7.81,5.2,0.6,2019
349,Amapá,Municipal,Rural,4.2,6.7,36.63,24.03,16,8.23,5.04,3.13,0.23,2019
352,Amapá,Privada,Total,5.85,0,2.11,4.66,9.41,17.06,22.29,35.09,9.37,2019
355,Amapá,Privada,Urbana,5.87,0,1.51,4.31,9.37,17.18,22.58,35.55,9.5,2019
358,Amapá,Privada,Rural,4.12,0,47.7,31.2,13.04,8.06,0,0,0,2019
370,Amapá,Pública,Total,4.57,1.74,24.75,23.83,21.04,13.98,8.21,5.74,0.72,2019
373,Amapá,Pública,Urbana,4.64,1.27,22.11,23.36,21.85,15.18,9.03,6.43,0.77,2019
376,Amapá,Pública,Rural,4.19,4.27,38.91,26.32,16.69,7.53,3.78,2.05,0.46,2019
379,Tocantins,Total,Total,4.69,1.97,21.88,20.38,20.7,16.31,10.06,7.4,1.3,2019
382,Tocantins,Total,Urbana,4.72,1.86,20.83,20,20.7,16.77,10.57,7.89,1.39,2019
385,Tocantins,Total,Rural,4.3,3.22,33.68,24.61,20.68,11.24,4.38,1.96,0.25,2019
388,Tocantins,Federal,Total,4.94,0.72,13.99,15.21,23.83,20.76,15.31,8.48,1.7,2019
391,Tocantins,Federal,Urbana,5.05,0.8,10.06,11.1,26.25,23.27,16.56,10.26,1.71,2019
394,Tocantins,Federal,Rural,4.64,0.52,24.11,25.79,17.61,14.32,12.09,3.89,1.67,2019
397,Tocantins,Estadual,Total,4.58,2.44,23.77,21.32,21.4,16.06,9.38,5.06,0.56,2019
400,Tocantins,Estadual,Urbana,4.6,2.35,23.09,21.21,21.42,16.45,9.65,5.22,0.6,2019
403,Tocantins,Estadual,Rural,4.23,4.14,36.17,23.3,20.96,8.94,4.43,2.07,0,2019
406,Tocantins,Municipal,Total,4.57,1.75,23.76,22.69,22.16,16.25,8.28,4.63,0.48,2019
409,Tocantins,Municipal,Urbana,4.62,1.58,22.23,22.27,22.47,16.95,8.95,5.03,0.52,2019
412,Tocantins,Municipal,Rural,4.28,2.99,34.47,25.62,19.98,11.33,3.58,1.78,0.25,2019
415,Tocantins,Privada,Total,5.93,0.09,1.08,3.3,8.15,17.56,22.72,36.85,10.26,2019
418,Tocantins,Privada,Urbana,5.99,0,0.44,2.47,7.03,17.24,23.48,38.6,10.74,2019
421,Tocantins,Privada,Rural,4.65,1.98,13.93,19.8,30.56,23.88,7.44,1.7,0.71,2019
433,Tocantins,Pública,Total,4.58,2.13,23.63,21.82,21.75,16.21,8.99,4.92,0.54,2019
436,Tocantins,Pública,Urbana,4.61,2.02,22.61,21.54,21.9,16.72,9.44,5.2,0.57,2019
439,Tocantins,Pública,Rural,4.28,3.28,34.6,24.84,20.21,10.64,4.23,1.97,0.22,2019
442,Maranhão,Total,Total,4.22,6.05,38.5,21.09,15.52,9.85,4.97,3.47,0.55,2019
445,Maranhão,Total,Urbana,4.32,4.8,34.92,21.43,16.84,11.24,5.83,4.26,0.68,2019
448,Maranhão,Total,Rural,3.9,9.95,49.7,20.04,11.37,5.5,2.3,1,0.15,2019
451,Maranhão,Federal,Total,4.63,1.9,21.77,21.38,21.99,17.5,9.51,5.3,0.65,2019
454,Maranhão,Federal,Urbana,4.71,1.56,18.52,21.16,22.19,19.13,10.68,5.93,0.82,2019
457,Maranhão,Federal,Rural,4.32,3.16,33.77,22.19,21.24,11.5,5.19,2.96,0,2019
460,Maranhão,Estadual,Total,4.02,8.96,44.44,20.13,13.62,7.73,3.39,1.58,0.15,2019
463,Maranhão,Estadual,Urbana,4.06,8.32,42.79,20.48,14.42,8.38,3.7,1.74,0.16,2019
466,Maranhão,Estadual,Rural,3.77,12.74,54.09,18.07,8.91,3.89,1.59,0.61,0.11,2019
469,Maranhão,Municipal,Total,4.14,5.59,40.86,23.12,16.02,8.73,3.73,1.75,0.22,2019
472,Maranhão,Municipal,Urbana,4.25,3.74,36.76,24.33,18.09,10.21,4.52,2.11,0.25,2019
475,Maranhão,Municipal,Rural,3.9,9.59,49.7,20.51,11.55,5.54,2.01,0.96,0.15,2019
478,Maranhão,Privada,Total,5.36,0.29,5.78,10.66,17.5,23.25,17.79,20.74,4,2019
481,Maranhão,Privada,Urbana,5.4,0.15,5.02,10.24,17.29,23.69,17.75,21.66,4.2,2019
484,Maranhão,Privada,Rural,4.75,2.73,18.9,17.93,21.17,15.55,18.34,4.84,0.54,2019
496,Maranhão,Pública,Total,4.11,6.63,41.8,22.15,15.31,8.5,3.68,1.73,0.2,2019
499,Maranhão,Pública,Urbana,4.18,5.4,38.78,22.87,16.78,9.63,4.29,2.02,0.22,2019
502,Maranhão,Pública,Rural,3.88,10.1,50.35,20.09,11.16,5.29,1.96,0.92,0.14,2019
505,Piauí,Total,Total,4.35,5.76,33.78,19.87,16.39,11.5,6.51,5.18,1,2019
508,Piauí,Total,Urbana,4.45,4.89,30.59,19.86,17.24,12.69,7.47,6.07,1.19,2019
511,Piauí,Total,Rural,3.88,10.06,49.54,19.91,12.23,5.63,1.74,0.82,0.06,2019
514,Piauí,Federal,Total,4.52,3.16,24.39,20.99,21.03,17.96,9.36,3,0.13,2019
517,Piauí,Federal,Urbana,4.56,2.36,23.39,21.54,21.36,18.51,9.51,3.19,0.14,2019
520,Piauí,Federal,Rural,4.15,11.72,35.12,15.07,17.44,12.02,7.74,0.89,0,2019
523,Piauí,Estadual,Total,4.09,8.87,39.67,20.62,15.96,9.27,3.88,1.6,0.13,2019
526,Piauí,Estadual,Urbana,4.11,8.45,38.93,20.83,16.37,9.6,4.03,1.65,0.13,2019
529,Piauí,Estadual,Rural,3.69,16.44,53.12,16.68,8.53,3.33,1.08,0.82,0,2019
532,Piauí,Municipal,Total,4.17,5.54,38.82,22.81,17.19,9.82,3.97,1.69,0.16,2019
535,Piauí,Municipal,Urbana,4.28,4.01,34.63,23.82,19.03,11.42,4.86,2.03,0.2,2019
538,Piauí,Municipal,Rural,3.9,9.37,49.29,20.29,12.57,5.82,1.76,0.82,0.07,2019
541,Piauí,Privada,Total,5.59,0.06,3.48,7.44,14.01,21.87,21.19,25.91,6.04,2019
544,Piauí,Privada,Urbana,5.59,0.06,3.42,7.4,13.99,21.89,21.22,25.96,6.05,2019
547,Piauí,Privada,Rural,4.33,0,32.97,23.46,26.54,11.35,5.68,0,0,2019
559,Piauí,Pública,Total,4.15,6.73,38.91,21.98,16.8,9.74,4.02,1.68,0.15,2019
562,Piauí,Pública,Urbana,4.21,5.91,36.3,22.48,17.92,10.75,4.58,1.89,0.17,2019
565,Piauí,Pública,Rural,3.88,10.08,49.57,19.9,12.21,5.62,1.73,0.82,0.06,2019
568,Ceará,Total,Total,4.44,4.88,29.65,21.09,17.98,12.62,7.39,5.47,0.92,2019
571,Ceará,Total,Urbana,4.5,4.4,27.49,20.83,18.51,13.41,8.11,6.2,1.06,2019
574,Ceará,Total,Rural,4.05,7.76,42.41,22.63,14.84,7.9,3.19,1.15,0.12,2019
577,Ceará,Federal,Total,4.94,1.54,18.17,16.61,18.09,14.3,13.94,15.27,2.08,2019
580,Ceará,Federal,Urbana,4.98,1.38,17.98,15.6,17.73,14.09,14.53,16.39,2.31,2019
583,Ceará,Federal,Rural,4.55,3,19.97,25.97,21.41,16.32,8.45,4.87,0,2019
586,Ceará,Estadual,Total,4.12,8.17,38.4,22.01,16.14,9.43,4.03,1.71,0.11,2019
589,Ceará,Estadual,Urbana,4.13,7.91,37.89,22.12,16.42,9.63,4.14,1.77,0.12,2019
592,Ceará,Estadual,Rural,3.85,12.74,47.39,20.15,11.29,5.75,2.08,0.58,0.02,2019
595,Ceará,Municipal,Total,4.29,4.54,32.87,24.4,19.4,11.4,4.98,2.21,0.2,2019
598,Ceará,Municipal,Urbana,4.36,3.73,30.08,24.86,20.68,12.41,5.5,2.52,0.23,2019
601,Ceará,Municipal,Rural,4.07,7.16,41.84,22.93,15.28,8.14,3.31,1.22,0.13,2019
604,Ceará,Privada,Total,5.51,0.09,3.01,8.36,16.56,22.51,21.55,23.11,4.8,2019
607,Ceará,Privada,Urbana,5.51,0.09,2.99,8.35,16.57,22.51,21.56,23.13,4.8,2019
610,Ceará,Privada,Rural,4.19,0,45.45,27.27,0,18.18,9.09,0,0,2019
622,Ceará,Pública,Total,4.23,5.8,34.77,23.54,18.25,10.71,4.67,2.08,0.18,2019
625,Ceará,Pública,Urbana,4.27,5.4,33.17,23.73,18.96,11.3,4.98,2.27,0.19,2019
628,Ceará,Pública,Rural,4.05,7.76,42.41,22.63,14.85,7.89,3.18,1.15,0.12,2019
631,Rio Grande do Norte,Total,Total,4.66,2.44,21.78,20.75,20.85,16.61,9.82,6.86,0.89,2019
634,Rio Grande do Norte,Total,Urbana,4.7,2.26,20.45,20.26,20.99,17.2,10.44,7.44,0.97,2019
637,Rio Grande do Norte,Total,Rural,4.3,3.97,32.68,24.83,19.76,11.75,4.71,2.13,0.18,2019
640,Rio Grande do Norte,Federal,Total,4.89,0.95,15.83,18.54,21.26,18.59,13.04,10.15,1.64,2019
643,Rio Grande do Norte,Federal,Urbana,4.9,0.97,15.35,18.61,21.08,18.68,13.03,10.6,1.69,2019
646,Rio Grande do Norte,Federal,Rural,4.76,0.8,20.24,17.9,22.97,17.76,13.08,5.98,1.27,2019
649,Rio Grande do Norte,Estadual,Total,4.43,3.71,27.41,23.11,21.4,14.53,6.65,2.91,0.27,2019
652,Rio Grande do Norte,Estadual,Urbana,4.43,3.71,27.04,23.17,21.45,14.69,6.71,2.95,0.28,2019
655,Rio Grande do Norte,Estadual,Rural,4.27,3.9,36.66,21.54,20.12,10.59,5.13,1.88,0.18,2019
658,Rio Grande do Norte,Municipal,Total,4.45,2.56,26.39,25.52,22.11,14.19,6.11,2.86,0.25,2019
661,Rio Grande do Norte,Municipal,Urbana,4.49,2.1,24.5,25.46,22.87,14.97,6.67,3.15,0.28,2019
664,Rio Grande do Norte,Municipal,Rural,4.28,4.16,32.86,25.74,19.5,11.53,4.2,1.88,0.12,2019
667,Rio Grande do Norte,Privada,Total,5.49,0.06,2.64,6.76,17.08,25.21,22.94,22.08,3.23,2019
670,Rio Grande do Norte,Privada,Urbana,5.49,0.06,2.65,6.73,17.05,25.19,22.98,22.1,3.23,2019
673,Rio Grande do Norte,Privada,Rural,5.21,0,0,15.08,25.86,29.87,10.93,16.88,1.38,2019
685,Rio Grande do Norte,Pública,Total,4.46,3,26.29,24.05,21.74,14.58,6.72,3.27,0.33,2019
688,Rio Grande do Norte,Pública,Urbana,4.49,2.85,25.28,23.92,22.05,15.03,7.04,3.46,0.36,2019
691,Rio Grande do Norte,Pública,Rural,4.3,3.99,32.87,24.89,19.72,11.65,4.67,2.04,0.18,2019
694,Paraíba,Total,Total,4.65,3.04,23.51,20.71,19.27,14.53,9.27,7.91,1.76,2019
697,Paraíba,Total,Urbana,4.7,2.76,22.18,20.33,19.41,15.03,9.79,8.58,1.92,2019
700,Paraíba,Total,Rural,4.18,5.75,36.42,24.43,17.99,9.67,4.28,1.32,0.15,2019
703,Paraíba,Federal,Total,4.68,2.28,17.75,21.03,24.92,17.17,10.62,5.97,0.26,2019
706,Paraíba,Federal,Urbana,4.68,2.28,17.75,21.03,24.92,17.17,10.62,5.97,0.26,2019
709,Paraíba,Federal,Rural,0,,,,,,,,,2019
712,Paraíba,Estadual,Total,4.36,4.61,29.41,23.92,19.73,13.22,6.21,2.68,0.21,2019
715,Paraíba,Estadual,Urbana,4.37,4.58,29,23.87,19.93,13.39,6.29,2.73,0.21,2019
718,Paraíba,Estadual,Rural,4.21,5.24,36.48,24.85,16.35,10.38,4.75,1.75,0.19,2019
721,Paraíba,Municipal,Total,4.4,3.15,28.48,24.82,21.58,13.32,6.01,2.42,0.22,2019
724,Paraíba,Municipal,Urbana,4.44,2.6,26.87,24.91,22.22,14.11,6.4,2.66,0.24,2019
727,Paraíba,Municipal,Rural,4.17,5.9,36.54,24.37,18.37,9.37,4.09,1.21,0.14,2019
730,Paraíba,Privada,Total,5.73,0.03,2.32,5.81,12.89,19.38,21.92,29.61,8.04,2019
733,Paraíba,Privada,Urbana,5.73,0.03,2.3,5.79,12.87,19.36,21.93,29.67,8.05,2019
736,Paraíba,Privada,Rural,4.77,1.81,13.47,15.28,24.35,27.46,15.8,1.81,0,2019
748,Paraíba,Pública,Total,4.38,3.77,28.7,24.36,20.84,13.34,6.18,2.59,0.22,2019
751,Paraíba,Pública,Urbana,4.41,3.51,27.68,24.35,21.21,13.83,6.43,2.76,0.23,2019
754,Paraíba,Pública,Rural,4.18,5.77,36.53,24.47,17.96,9.58,4.23,1.32,0.15,2019
757,Pernambuco,Total,Total,4.61,3.02,23.25,21.58,20.3,14.67,8.98,7.06,1.13,2019
760,Pernambuco,Total,Urbana,4.67,2.63,21.38,21.29,20.58,15.34,9.69,7.82,1.27,2019
763,Pernambuco,Total,Rural,4.18,5.85,36.89,23.69,18.27,9.81,3.82,1.56,0.11,2019
766,Pernambuco,Federal,Total,5.34,1.03,10.01,12.08,15.19,16.3,15.72,24.83,4.84,2019
769,Pernambuco,Federal,Urbana,5.58,0.57,5.88,9.11,12.67,16.09,18.11,31.16,6.42,2019
772,Pernambuco,Federal,Rural,4.59,2.44,22.62,21.15,22.86,16.97,8.43,5.53,0,2019
775,Pernambuco,Estadual,Total,4.41,3.96,27.48,23.82,21.59,13.59,6.55,2.81,0.21,2019
778,Pernambuco,Estadual,Urbana,4.42,3.86,26.96,23.87,21.8,13.75,6.67,2.89,0.21,2019
781,Pernambuco,Estadual,Rural,4.22,5.55,35.64,23.05,18.24,10.99,4.76,1.6,0.17,2019
