,year,region,location,adm,elem_1,elem_2,elem_3,elem_4,elem_5,prim_1,prim_2,prim_3,prim_4,prim_5,sec_1,sec_2,sec_3,sec_4,sec_5
0,2017,Brasil,Total,Total,48.1,0.4,18.6,3.8000000000000003,29.1,55.7,1.5,18.7,4.1,20,61,3.1,23.6,6.5,5.8
1,2017,Brasil,Urbana,Total,49.1,0.4,19,3.9,27.6,60.9,1.8,17.2,4.4,15.700000000000001,61.6,3.1,23.2,6.5,5.6000000000000005
2,2017,Brasil,Rural,Total,37.7,0.3,14.6,2.2,45.2,33.1,0.5,25.6,2.5,38.300000000000004,50.7,2.1,28.8,6.5,11.9
3,2017,Brasil,Total,Federal,45.7,0.6,28.1,10.5,15.1,82.60000000000001,1.9000000000000001,5.4,7.1000000000000005,3,72.3,7,7.3,11.700000000000001,1.7
4,2017,Brasil,Urbana,Federal,45.2,0.4,28.900000000000002,10,15.5,82.7,1.9000000000000001,5.3,7.2,2.9,72.4,6.8,6.8,12.3,1.7
5,2017,Brasil,Rural,Federal,61.5,7.7,0,30.8,0,70.10000000000001,0,20.7,0,9.200000000000001,71.7,8.5,10.200000000000001,8.1,1.5
6,2017,Brasil,Total,Estadual,56,0.6,14.9,4.6000000000000005,23.900000000000002,66.4,2.8000000000000003,18.8,4.2,7.8,60.4,3,24.900000000000002,6.3,5.4
7,2017,Brasil,Urbana,Estadual,68.2,0.8,16.7,4.5,9.8,68.60000000000001,3,18.400000000000002,4.2,5.8,61.1,3.1,24.6,6.3,4.9
8,2017,Brasil,Rural,Estadual,19.400000000000002,0,9.6,5.1000000000000005,65.9,44.300000000000004,1.5,23,4.2,27,50.300000000000004,1.9000000000000001,29.6,6.3,11.9
9,2017,Brasil,Total,Municipal,54.2,0.4,18.7,3.4,23.3,53,0.9,20.900000000000002,3.9,21.3,62.1,2.2,22.6,4,9.1
10,2017,Brasil,Urbana,Municipal,56.4,0.4,19.3,3.6,20.3,61.5,1.1,18.900000000000002,4.6000000000000005,13.9,68.1,2.6,20.3,3.9,5.1000000000000005
11,2017,Brasil,Rural,Municipal,38.4,0.3,14.8,2.2,44.300000000000004,31.7,0.4,26,2.3000000000000003,39.6,30.8,0.2,34.300000000000004,5.1000000000000005,29.6
12,2017,Brasil,Total,Privada,35.2,0.4,18.5,4.6000000000000005,41.300000000000004,51.5,1.8,12.5,4.3,29.900000000000002,62.300000000000004,3,18.5,7.1000000000000005,9.1
13,2017,Brasil,Urbana,Privada,35.300000000000004,0.4,18.5,4.6000000000000005,41.2,51.6,1.8,12.5,4.3,29.8,62.7,3,18.400000000000002,7,8.9
14,2017,Brasil,Rural,Privada,26.3,0.3,10.9,1.9000000000000001,60.6,35.9,1.4000000000000001,13.200000000000001,3.6,45.9,38.5,1.1,30.400000000000002,10.3,19.7
15,2017,Brasil,Total,Pública,54.2,0.4,18.7,3.4,23.3,56.800000000000004,1.5,20.3,4,17.400000000000002,60.7,3.1,24.5,6.4,5.3
16,2017,Brasil,Urbana,Pública,56.5,0.4,19.2,3.6,20.3,63.9,1.8,18.7,4.4,11.200000000000001,61.4,3.2,24.1,6.4,4.9
17,2017,Brasil,Rural,Pública,38.1,0.3,14.700000000000001,2.2,44.7,33.1,0.5,25.7,2.5,38.2,51.1,2.2,28.7,6.4,11.6
18,2017,Norte,Total,Total,49,0.3,12.5,3,35.2,48.800000000000004,0.5,20.1,3.9,26.7,61.9,0.6,25.1,8.8,3.6
19,2017,Norte,Urbana,Total,52.800000000000004,0.3,13.4,3.3000000000000003,30.2,62.6,0.7000000000000001,17.6,4.7,14.4,62.1,0.7000000000000001,25.2,9.8,2.2
20,2017,Norte,Rural,Total,33.2,0.2,8.4,1.7,56.5,25.5,0.2,24.1,2.6,47.6,61,0.3,24.8,4.2,9.700000000000001
21,2017,Norte,Total,Federal,39.4,0,39.4,18.2,3,84.7,0.6,3.4,9.3,2,73.5,5.7,7.7,11.6,1.5
22,2017,Norte,Urbana,Federal,39.4,0,39.4,18.2,3,84.7,0.6,3.4,9.3,2,73.3,5.7,7,12.700000000000001,1.3
23,2017,Norte,Rural,Federal,--,--,--,--,--,--,--,--,--,--,74.5,5.9,12.4,4.3,2.9
24,2017,Norte,Total,Estadual,37.9,1.5,13.1,5.6000000000000005,41.9,59.1,0.6,23,6,11.3,61.4,0.4,26.2,8.8,3.2
25,2017,Norte,Urbana,Estadual,62.2,2.5,21,4.2,10.1,66.1,0.6,23.1,6.3,3.9,61.4,0.5,26.6,10,1.5
26,2017,Norte,Rural,Estadual,1.3,0,1.3,7.6000000000000005,89.8,31.7,0.2,22.7,4.8,40.6,61.4,0.1,24.8,4.1,9.6
27,2017,Norte,Total,Municipal,52.6,0.3,10.4,2.4,34.300000000000004,44.1,0.4,20.3,3.1,32.1,44.5,0,29.900000000000002,2.2,23.400000000000002
