,year,region,location,adm,prim_0,sec_0
0,2013,Rondônia,Total,Total,27.4,31.1
1,2013,Rondônia,Total,Estadual,31.4,33.9
2,2013,Rondônia,Total,Federal,--,15.3
3,2013,Rondônia,Total,Municipal,26.6,--
4,2013,Rondônia,Total,Privada,5,8.4
5,2013,Rondônia,Total,Pública,29,33
6,2013,Rondônia,Rural,Total,33.5,32.2
7,2013,Rondônia,Rural,Estadual,42.9,41
8,2013,Rondônia,Rural,Federal,--,16.7
9,2013,Rondônia,Rural,Municipal,31.8,--
10,2013,Rondônia,Rural,Privada,21.9,19
11,2013,Rondônia,Rural,Pública,33.6,34.9
12,2013,Rondônia,Urbana,Total,25.5,31
13,2013,Rondônia,Urbana,Estadual,30.3,33.5
14,2013,Rondônia,Urbana,Federal,--,14.6
15,2013,Rondônia,Urbana,Municipal,22.8,--
16,2013,Rondônia,Urbana,Privada,4.6,6.4
17,2013,Rondônia,Urbana,Pública,27.5,32.8
18,2013,Acre,Total,Total,28.1,34.2
19,2013,Acre,Total,Estadual,25.7,35.8
20,2013,Acre,Total,Federal,9.9,26.6
21,2013,Acre,Total,Municipal,34.5,--
22,2013,Acre,Total,Privada,2.9,5.5
23,2013,Acre,Total,Pública,29.2,35.7
24,2013,Acre,Rural,Total,45.9,45.9
25,2013,Acre,Rural,Estadual,45.1,45.9
26,2013,Acre,Rural,Municipal,46.6,--
27,2013,Acre,Rural,Pública,45.9,45.9
28,2013,Acre,Urbana,Total,19.3,32.3
29,2013,Acre,Urbana,Estadual,19,34
30,2013,Acre,Urbana,Federal,9.9,26.6
31,2013,Acre,Urbana,Municipal,23.5,--
32,2013,Acre,Urbana,Privada,2.9,5.5
33,2013,Acre,Urbana,Pública,20.4,33.9
34,2013,Amazonas,Total,Total,32.2,46.7
35,2013,Amazonas,Total,Estadual,28.9,49.3
36,2013,Amazonas,Total,Federal,9.8,24.1
37,2013,Amazonas,Total,Municipal,37.7,--
38,2013,Amazonas,Total,Privada,7.1,10.1
39,2013,Amazonas,Total,Pública,34.3,48.8
40,2013,Amazonas,Rural,Total,45.4,69.5
41,2013,Amazonas,Rural,Estadual,43.7,69.8
42,2013,Amazonas,Rural,Municipal,45.6,--
43,2013,Amazonas,Rural,Privada,13.2,20.4
44,2013,Amazonas,Rural,Pública,45.4,69.8
45,2013,Amazonas,Urbana,Total,28,42.9
46,2013,Amazonas,Urbana,Estadual,28,45.6
47,2013,Amazonas,Urbana,Federal,9.8,24.1
48,2013,Amazonas,Urbana,Municipal,32.6,--
49,2013,Amazonas,Urbana,Privada,7,10
50,2013,Amazonas,Urbana,Pública,30.3,45.1
51,2013,Roraima,Total,Total,20.7,28.4
52,2013,Roraima,Total,Estadual,27.8,30.6
53,2013,Roraima,Total,Federal,4.2,17.9
54,2013,Roraima,Total,Municipal,14.8,53.8
55,2013,Roraima,Total,Privada,2.4,6.5
56,2013,Roraima,Total,Pública,21.9,29.9
57,2013,Roraima,Rural,Total,30.8,39.3
58,2013,Roraima,Rural,Estadual,34.7,39.9
59,2013,Roraima,Rural,Federal,--,20.9
60,2013,Roraima,Rural,Municipal,23.5,53.8
61,2013,Roraima,Rural,Privada,--,--
62,2013,Roraima,Rural,Pública,30.8,39.3
63,2013,Roraima,Urbana,Total,17.1,26.4
64,2013,Roraima,Urbana,Estadual,24.3,28.7
65,2013,Roraima,Urbana,Federal,4.2,17.5
66,2013,Roraima,Urbana,Municipal,12.5,--
67,2013,Roraima,Urbana,Privada,2.4,6.5
68,2013,Roraima,Urbana,Pública,18.5,28
69,2013,Pará,Total,Total,34.7,52.8
70,2013,Pará,Total,Estadual,41,57.5
71,2013,Pará,Total,Federal,6.1,34.5
72,2013,Pará,Total,Municipal,36.5,42.5
73,2013,Pará,Total,Privada,6.7,10.7
74,2013,Pará,Total,Pública,37.2,57.3
75,2013,Pará,Rural,Total,43.8,59.9
76,2013,Pará,Rural,Estadual,45.3,60.2
77,2013,Pará,Rural,Federal,--,97.1
78,2013,Pará,Rural,Municipal,43.8,60.3
79,2013,Pará,Rural,Privada,25.8,44.9
80,2013,Pará,Rural,Pública,43.9,60.3
81,2013,Pará,Urbana,Total,29.9,52.2
82,2013,Pará,Urbana,Estadual,40.4,57.3
83,2013,Pará,Urbana,Federal,6.1,33.1
84,2013,Pará,Urbana,Municipal,31.2,33.1
85,2013,Pará,Urbana,Privada,6.5,10
86,2013,Pará,Urbana,Pública,33.3,57
87,2013,Amapá,Total,Total,26.4,37.4
88,2013,Amapá,Total,Estadual,32.2,40.8
89,2013,Amapá,Total,Federal,--,17.4
90,2013,Amapá,Total,Municipal,21.1,--
91,2013,Amapá,Total,Privada,3.7,7.9
92,2013,Amapá,Total,Pública,28.3,40.2
93,2013,Amapá,Rural,Total,36.2,53.4
94,2013,Amapá,Rural,Estadual,40.1,54.1
95,2013,Amapá,Rural,Municipal,25.5,--
96,2013,Amapá,Rural,Privada,59.1,45.2
97,2013,Amapá,Rural,Pública,36,54.1
98,2013,Amapá,Urbana,Total,23.8,35.6
