,year,region,location,adm,total_1,total_2,total_3,total_4
0,2017,Brasil,Total,Total,13.700000000000001,37.6,39.1,9.6
1,2017,Brasil,Urbana,Total,8.8,39.300000000000004,44.5,7.4
2,2017,Brasil,Rural,Total,22.900000000000002,34.4,29.0,13.700000000000001
3,2017,Brasil,Total,Federal,3.0,31.8,60.4,4.8
4,2017,Brasil,Urbana,Federal,3.0,29.900000000000002,61.7,5.4
5,2017,Brasil,Rural,Federal,2.9,43.5,52.2,1.4000000000000001
6,2017,Brasil,Total,Estadual,7.7,47.5,40.0,4.8
7,2017,Brasil,Urbana,Estadual,6.0,48.5,41.5,4.0
8,2017,Brasil,Rural,Estadual,15.700000000000001,43.0,32.5,8.8
9,2017,Brasil,Total,Municipal,16.5,36.800000000000004,36.800000000000004,9.9
10,2017,Brasil,Urbana,Municipal,9.5,39.9,44.800000000000004,5.8
11,2017,Brasil,Rural,Municipal,23.7,33.5,28.5,14.3
12,2017,Brasil,Total,Privada,10.0,31.5,45.800000000000004,12.700000000000001
13,2017,Brasil,Urbana,Privada,9.9,31.5,45.9,12.700000000000001
14,2017,Brasil,Rural,Privada,14.9,34.9,39.1,11.1
15,2017,Brasil,Total,Pública,14.5,39.1,37.6,8.8
16,2017,Brasil,Urbana,Pública,8.4,42.5,43.9,5.2
17,2017,Brasil,Rural,Pública,23.0,34.4,28.900000000000002,13.700000000000001
18,2017,Norte,Total,Total,23.0,35.4,31.5,10.1
19,2017,Norte,Urbana,Total,7.6000000000000005,40.7,46.2,5.5
20,2017,Norte,Rural,Total,31.6,32.4,23.2,12.8
21,2017,Norte,Total,Federal,3.8000000000000003,34.0,62.2,0.0
22,2017,Norte,Urbana,Federal,4.3,30.400000000000002,65.3,0.0
23,2017,Norte,Rural,Federal,0.0,57.1,42.9,0.0
24,2017,Norte,Total,Estadual,12.200000000000001,41.6,39.7,6.5
25,2017,Norte,Urbana,Estadual,5.5,42.9,47.9,3.7
26,2017,Norte,Rural,Estadual,23.1,39.5,26.3,11.1
27,2017,Norte,Total,Municipal,26.7,33.9,28.400000000000002,11.0
