,year,region,location,adm,elem_0,prim_0,sec_0
0,2017,Brasil,Total,Total,16.3,23,30.400000000000002
1,2017,Brasil,Urbana,Total,16.5,24.400000000000002,30.900000000000002
2,2017,Brasil,Rural,Total,14.700000000000001,17.1,22.6
3,2017,Brasil,Total,Federal,14.4,24.5,29.2
4,2017,Brasil,Urbana,Federal,14.700000000000001,24.6,29.1
5,2017,Brasil,Rural,Federal,9.8,12.8,29.8
6,2017,Brasil,Total,Estadual,17.400000000000002,26.3,30.900000000000002
7,2017,Brasil,Urbana,Estadual,19.6,27.3,31.5
8,2017,Brasil,Rural,Estadual,11,16.2,22.2
9,2017,Brasil,Total,Municipal,18.1,22.7,27.900000000000002
10,2017,Brasil,Urbana,Municipal,18.7,25,29.400000000000002
11,2017,Brasil,Rural,Municipal,14.8,17.2,19.8
12,2017,Brasil,Total,Privada,13,19.900000000000002,27.8
13,2017,Brasil,Urbana,Privada,13,19.900000000000002,27.900000000000002
14,2017,Brasil,Rural,Privada,14.9,16.9,23.7
15,2017,Brasil,Total,Pública,18.1,23.7,30.8
16,2017,Brasil,Urbana,Pública,18.7,25.8,31.400000000000002
17,2017,Brasil,Rural,Pública,14.700000000000001,17.1,22.6
18,2017,Norte,Total,Total,18.400000000000002,22.8,29.7
19,2017,Norte,Urbana,Total,19.5,26.3,31.7
20,2017,Norte,Rural,Total,14.8,17.2,18.900000000000002
21,2017,Norte,Total,Federal,13.4,20.7,29.2
22,2017,Norte,Urbana,Federal,13.4,20.7,29.1
23,2017,Norte,Rural,Federal,--,--,30.1
24,2017,Norte,Total,Estadual,16,26.2,29.5
25,2017,Norte,Urbana,Estadual,29,29,31.8
26,2017,Norte,Rural,Estadual,10.200000000000001,16,18.6
27,2017,Norte,Total,Municipal,19.1,22,26.2
28,2017,Norte,Urbana,Municipal,20.900000000000002,26.400000000000002,29
29,2017,Norte,Rural,Municipal,14.8,17.400000000000002,19.7
30,2017,Norte,Total,Privada,14.8,20.3,31.400000000000002
31,2017,Norte,Urbana,Privada,14.8,20.3,32.1
32,2017,Norte,Rural,Privada,13.200000000000001,18.5,20.2
33,2017,Norte,Total,Pública,19.1,23.1,29.5
34,2017,Norte,Urbana,Pública,20.900000000000002,27.3,31.7
35,2017,Norte,Rural,Pública,14.8,17.2,18.8
36,2017,Rondônia,Total,Total,18.3,23.2,26.2
37,2017,Rondônia,Urbana,Total,19.2,25.1,26.7
38,2017,Rondônia,Rural,Total,12.3,18.1,21.5
39,2017,Rondônia,Total,Federal,--,--,29.7
40,2017,Rondônia,Urbana,Federal,--,--,30.5
41,2017,Rondônia,Rural,Federal,--,--,27.900000000000002
42,2017,Rondônia,Total,Estadual,28.400000000000002,25.900000000000002,26
43,2017,Rondônia,Urbana,Estadual,29,27.6,26.6
44,2017,Rondônia,Rural,Estadual,9,16.2,20
45,2017,Rondônia,Total,Municipal,18.900000000000002,21.7,--
46,2017,Rondônia,Urbana,Municipal,20.1,23.7,--
47,2017,Rondônia,Rural,Municipal,12.3,18.6,--
48,2017,Rondônia,Total,Privada,15.1,20.7,25.3
49,2017,Rondônia,Urbana,Privada,15.1,20.7,25.8
50,2017,Rondônia,Rural,Privada,10.5,20.3,23.2
51,2017,Rondônia,Total,Pública,19,23.400000000000002,26.2
52,2017,Rondônia,Urbana,Pública,20.2,25.7,26.8
53,2017,Rondônia,Rural,Pública,12.3,18,21.3
54,2017,Acre,Total,Total,19.1,22.900000000000002,28.5
55,2017,Acre,Urbana,Total,21.6,28,35
56,2017,Acre,Rural,Total,12.200000000000001,16.8,15.6
57,2017,Acre,Total,Federal,25,29,30.6
58,2017,Acre,Urbana,Federal,25,29,30.6
59,2017,Acre,Total,Estadual,10.1,24.900000000000002,28.400000000000002
60,2017,Acre,Urbana,Estadual,--,30.400000000000002,35.6
61,2017,Acre,Rural,Estadual,10.1,16.9,15.6
62,2017,Acre,Total,Municipal,19.7,20.400000000000002,--
63,2017,Acre,Urbana,Municipal,22.400000000000002,25.2,--
64,2017,Acre,Rural,Municipal,12.3,16.7,--
65,2017,Acre,Total,Privada,14.5,22.400000000000002,30.2
66,2017,Acre,Urbana,Privada,14.5,22.400000000000002,30.2
67,2017,Acre,Total,Pública,19.5,23,28.400000000000002
68,2017,Acre,Urbana,Pública,22.400000000000002,28.5,35.300000000000004
69,2017,Acre,Rural,Pública,12.200000000000001,16.8,15.6
70,2017,Amazonas,Total,Total,19.1,23.400000000000002,29.7
71,2017,Amazonas,Urbana,Total,20.1,28.2,34.800000000000004
72,2017,Amazonas,Rural,Total,15.1,15.700000000000001,16.5
73,2017,Amazonas,Total,Federal,--,12.9,28.7
74,2017,Amazonas,Urbana,Federal,--,12.9,28.3
75,2017,Amazonas,Rural,Federal,--,--,36.4
76,2017,Amazonas,Total,Estadual,--,30.3,29.8
77,2017,Amazonas,Urbana,Estadual,--,31.900000000000002,35.6
78,2017,Amazonas,Rural,Estadual,--,17.400000000000002,16.4
79,2017,Amazonas,Total,Municipal,20,21.3,24.900000000000002
80,2017,Amazonas,Urbana,Municipal,21.6,27.8,28.1
81,2017,Amazonas,Rural,Municipal,15.1,15.6,17.8
82,2017,Amazonas,Total,Privada,15,20.1,27.8
83,2017,Amazonas,Urbana,Privada,15,20,27.7
84,2017,Amazonas,Rural,Privada,4.3,21.3,30.6
85,2017,Amazonas,Total,Pública,20,23.7,29.8
86,2017,Amazonas,Urbana,Pública,21.6,29.5,35.300000000000004
87,2017,Amazonas,Rural,Pública,15.1,15.700000000000001,16.5
88,2017,Roraima,Total,Total,18.7,20.400000000000002,22.3
89,2017,Roraima,Urbana,Total,20,24.900000000000002,26.900000000000002
90,2017,Roraima,Rural,Total,15,13.8,13.1
91,2017,Roraima,Total,Federal,--,25.3,25.900000000000002
92,2017,Roraima,Urbana,Federal,--,25.3,25.3
93,2017,Roraima,Rural,Federal,--,--,27.5
94,2017,Roraima,Total,Estadual,--,19.400000000000002,21.8
95,2017,Roraima,Urbana,Estadual,--,26.2,26.900000000000002
96,2017,Roraima,Rural,Estadual,--,13.5,12.4
97,2017,Roraima,Total,Municipal,19.8,21.2,--
98,2017,Roraima,Urbana,Municipal,22.3,24.8,--
99,2017,Roraima,Rural,Municipal,15,14.3,--
100,2017,Roraima,Total,Privada,14.9,21.5,26.5
101,2017,Roraima,Urbana,Privada,14.9,21.5,28
102,2017,Roraima,Rural,Privada,--,--,8.5
103,2017,Roraima,Total,Pública,19.8,20.3,22.1
104,2017,Roraima,Urbana,Pública,22.3,25.400000000000002,26.8
105,2017,Roraima,Rural,Pública,15,13.8,13.200000000000001
106,2017,Pará,Total,Total,18.1,22.8,32.2
107,2017,Pará,Urbana,Total,19.3,26.1,32.4
108,2017,Pará,Rural,Total,15.4,18.5,29.8
109,2017,Pará,Total,Federal,11.5,25.1,27.7
110,2017,Pará,Urbana,Federal,11.5,25.1,27.5
111,2017,Pará,Rural,Federal,--,--,33.3
112,2017,Pará,Total,Estadual,8.8,28.1,32
113,2017,Pará,Urbana,Estadual,--,28.6,32.2
114,2017,Pará,Rural,Estadual,8.8,23.2,30.400000000000002
115,2017,Pará,Total,Municipal,18.7,22.400000000000002,29.1
116,2017,Pará,Urbana,Municipal,20.5,26.900000000000002,31
117,2017,Pará,Rural,Municipal,15.4,18.400000000000002,24.5
118,2017,Pará,Total,Privada,15,20.3,34.9
119,2017,Pará,Urbana,Privada,15,20.3,35.6
120,2017,Pará,Rural,Privada,14.6,16.7,19.8
121,2017,Pará,Total,Pública,18.7,23.1,32
122,2017,Pará,Urbana,Pública,20.5,27.3,32.1
123,2017,Pará,Rural,Pública,15.4,18.5,30.400000000000002
124,2017,Amapá,Total,Total,16.8,21.5,29.2
125,2017,Amapá,Urbana,Total,18.3,25.6,31.6
126,2017,Amapá,Rural,Total,12,13.4,19.2
127,2017,Amapá,Total,Federal,--,--,32.7
128,2017,Amapá,Urbana,Federal,--,--,32.7
129,2017,Amapá,Total,Estadual,10.700000000000001,21.7,29.1
130,2017,Amapá,Urbana,Estadual,--,27.6,31.400000000000002
131,2017,Amapá,Rural,Estadual,10.700000000000001,13.6,19.900000000000002
132,2017,Amapá,Total,Municipal,18,21.5,--
