,year,region,location,adm,prim_1,sec_1,prim_2,sec_2,prim_3,sec_3
0,2013,Rondônia,Total,Total,87.4,78.8,10.1,10.7,2.5,10.5
1,2013,Rondônia,Total,Pública,86.7,77.7,10.6,11,2.7,11.3
2,2013,Rondônia,Total,Privada,96.9,92.1,3,7.4,0.1,0.5
3,2013,Rondônia,Total,Municipal,89.3,--,8.7,--,2,--
4,2013,Rondônia,Total,Federal,--,86,--,12.6,--,1.4
5,2013,Rondônia,Total,Estadual,84.3,77.3,12.5,10.9,3.2,11.8
6,2013,Rondônia,Rural,Total,87.6,84.1,9.1,7.3,3.3,8.6
7,2013,Rondônia,Rural,Pública,87.6,82,9.1,8.2,3.3,9.8
8,2013,Rondônia,Rural,Privada,97,96,3,2.5,0,1.5
9,2013,Rondônia,Rural,Municipal,88.4,--,8.9,--,2.7,--
10,2013,Rondônia,Rural,Federal,--,84.8,--,14.3,--,0.9
11,2013,Rondônia,Rural,Estadual,83.7,81.1,10,6.2,6.3,12.7
12,2013,Rondônia,Urbana,Total,87.4,78.3,10.4,11,2.2,10.7
13,2013,Rondônia,Urbana,Pública,86.4,77.4,11.1,11.2,2.5,11.4
14,2013,Rondônia,Urbana,Privada,96.9,91.4,3,8.3,0.1,0.3
15,2013,Rondônia,Urbana,Municipal,89.9,--,8.5,--,1.6,--
16,2013,Rondônia,Urbana,Federal,--,86.6,--,11.7,--,1.7
17,2013,Rondônia,Urbana,Estadual,84.3,77,12.8,11.1,2.9,11.9
18,2013,Acre,Total,Total,90.3,78.9,7,11.1,2.7,10
19,2013,Acre,Total,Pública,89.9,78,7.3,11.5,2.8,10.5
20,2013,Acre,Total,Privada,98.6,95.1,1.4,4.8,0,0.1
21,2013,Acre,Total,Municipal,88,--,8.8,--,3.2,--
22,2013,Acre,Total,Federal,87.5,73.5,12.5,15.1,0,11.4
23,2013,Acre,Total,Estadual,91.1,78.1,6.3,11.4,2.6,10.5
24,2013,Acre,Rural,Total,85,90.4,9.9,3,5.1,6.6
25,2013,Acre,Rural,Pública,85,90.4,9.9,3,5.1,6.6
26,2013,Acre,Rural,Municipal,84.6,--,10.4,--,5,--
27,2013,Acre,Rural,Estadual,85.4,90.4,9.3,3,5.3,6.6
28,2013,Acre,Urbana,Total,92.9,77,5.6,12.4,1.5,10.6
29,2013,Acre,Urbana,Pública,92.5,75.9,5.9,12.9,1.6,11.2
30,2013,Acre,Urbana,Privada,98.6,95.1,1.4,4.8,0,0.1
31,2013,Acre,Urbana,Municipal,91.2,--,7.3,--,1.5,--
32,2013,Acre,Urbana,Federal,87.5,73.5,12.5,15.1,0,11.4
33,2013,Acre,Urbana,Estadual,93.1,75.9,5.2,12.9,1.7,11.2
34,2013,Amazonas,Total,Total,86.4,81.2,8.6,7,5,11.8
35,2013,Amazonas,Total,Pública,85.6,80.6,9.1,7,5.3,12.4
36,2013,Amazonas,Total,Privada,96.7,92.5,3,7.1,0.3,0.4
37,2013,Amazonas,Total,Municipal,83.7,--,10.7,--,5.6,--
38,2013,Amazonas,Total,Federal,87.3,86.4,12.7,11.6,0,2
39,2013,Amazonas,Total,Estadual,88.6,80.5,6.6,6.9,4.8,12.6
40,2013,Amazonas,Rural,Total,82.8,83.6,10.2,5.6,7,10.8
