,year,region,location,adm,prim_1,prim_2,prim_3,prim_4,prim_5,prim_6,sec_1,sec_2,sec_3,sec_4,sec_5,sec_6
0,2017,Brasil,Total,Total,21,18.400000000000002,24.2,27.400000000000002,6.1000000000000005,2.9,1,9.200000000000001,24.900000000000002,43.300000000000004,14.6,7
1,2017,Brasil,Urbana,Total,17.6,18.400000000000002,25,29.1,6.7,3.2,0.8,8.9,25,43.300000000000004,14.8,7.2
2,2017,Brasil,Rural,Total,34.1,15.8,19.6,23.6,4.7,2.2,2.5,12.200000000000001,20.3,42.9,15.200000000000001,6.9
3,2017,Brasil,Total,Federal,12.200000000000001,38.6,28.1,17.400000000000002,2.5,1.2,2.8000000000000003,30.400000000000002,32.8,31.1,2.3000000000000003,0.6
4,2017,Brasil,Urbana,Federal,12.1,38.7,28.2,17.400000000000002,2.4,1.2,2.6,29.400000000000002,32.8,32.1,2.4,0.7000000000000001
5,2017,Brasil,Rural,Federal,31.8,27.3,9.1,18.2,9.1,4.5,3.8000000000000003,36,33.2,24.900000000000002,1.9000000000000001,0.2
6,2017,Brasil,Total,Estadual,9.6,13.6,19.5,39.9,11.9,5.5,0.8,7,22,45.2,16.8,8.2
7,2017,Brasil,Urbana,Estadual,8.3,13.8,19.6,40.4,12.200000000000001,5.7,0.7000000000000001,6.8,22,45.1,17,8.4
8,2017,Brasil,Rural,Estadual,21.900000000000002,9.4,16.8,36.800000000000004,11,4.1,2.3000000000000003,8.4,18.1,45.800000000000004,17.5,7.9
9,2017,Brasil,Total,Municipal,24.900000000000002,19.7,23.6,24,4.9,2.9,0.9,9.4,21.400000000000002,42.5,16.5,9.3
10,2017,Brasil,Urbana,Municipal,19.7,20.1,25,26.1,5.6000000000000005,3.5,0.4,9.3,20.8,41.4,17.900000000000002,10.200000000000001
11,2017,Brasil,Rural,Municipal,35.9,16.8,19.900000000000002,21.6,3.8000000000000003,2,2.3000000000000003,9.8,23.900000000000002,47.5,10.8,5.7
12,2017,Brasil,Total,Privada,20.8,16.1,28.6,25.900000000000002,5.4,3.2,1.1,10.9,30.6,38.2,11.9,7.3
13,2017,Brasil,Urbana,Privada,20.7,16.1,28.6,25.900000000000002,5.5,3.2,1.1,10.6,30.7,38.300000000000004,12,7.3
14,2017,Brasil,Rural,Privada,22.6,18,29.400000000000002,23.6,4.1,2.3000000000000003,4.1,27.5,29.2,28.8,6.2,4.2
15,2017,Brasil,Total,Pública,20.400000000000002,18.400000000000002,22.7,28.6,6.7,3.2,0.8,8.4,22.7,44.4,15.9,7.8
16,2017,Brasil,Urbana,Pública,15.8,18.5,23.400000000000002,31,7.6000000000000005,3.7,0.8,8.1,22.6,44.4,16.1,8
17,2017,Brasil,Rural,Pública,34.1,15.8,19.5,23.7,4.7,2.2,2.5,11.4,19.900000000000002,43.6,15.6,7
18,2017,Norte,Total,Total,24.5,16.3,26.5,24.1,5.4,3.2,1.7,7.4,23.5,42.2,15.1,10.1
19,2017,Norte,Urbana,Total,16,16.6,28.8,27.2,6.9,4.5,0.9,6.8,23.400000000000002,42.300000000000004,15.700000000000001,10.9
20,2017,Norte,Rural,Total,38.2,15,21.900000000000002,19.900000000000002,3.4,1.6,6.6000000000000005,10.8,22.400000000000002,39.6,12.9,7.7
21,2017,Norte,Total,Federal,9.1,49.1,29.3,10.1,1,1.4000000000000001,2.2,30.5,34.800000000000004,30.2,1.5,0.8
22,2017,Norte,Urbana,Federal,9.1,49.1,29.3,10.1,1,1.4000000000000001,2.3000000000000003,28.900000000000002,34.1,32.1,1.7,0.9
23,2017,Norte,Rural,Federal,--,--,--,--,--,--,2.1,41.2,39.800000000000004,16.9,0,0
24,2017,Norte,Total,Estadual,11.8,11.9,24.1,35.9,10.1,6.2,1.7,4.8,21.1,43.6,17.1,11.700000000000001
25,2017,Norte,Urbana,Estadual,5.8,11.9,25.7,38.1,11.200000000000001,7.3,0.8,4.3,20.900000000000002,43.5,17.8,12.700000000000001
26,2017,Norte,Rural,Estadual,34.1,11.4,17.1,27.400000000000002,6.8,3.2,7.3,7.7,20.2,41.9,14.4,8.5
