,year,region,location,adm,elem_0,prim_0,sec_0
0,2013,Rondônia,Total,Total,73.1,86.5,95.9
1,2013,Rondônia,Total,Federal,--,--,100
2,2013,Rondônia,Total,Estadual,92.2,92.8,96.4
3,2013,Rondônia,Total,Municipal,76.9,81.4,--
4,2013,Rondônia,Total,Privada,55.7,78.8,90.8
5,2013,Rondônia,Total,Pública,77.5,87.3,96.7
6,2013,Rondônia,Urbana,Total,74.6,90.8,96.2
7,2013,Rondônia,Urbana,Federal,--,--,100
8,2013,Rondônia,Urbana,Estadual,94.7,96.2,96.7
9,2013,Rondônia,Urbana,Municipal,79.4,85.5,--
10,2013,Rondônia,Urbana,Privada,55.3,78.7,92.3
11,2013,Rondônia,Urbana,Pública,80,92.5,96.8
12,2013,Rondônia,Rural,Total,58.9,75.8,92.6
13,2013,Rondônia,Rural,Federal,--,--,100
14,2013,Rondônia,Rural,Estadual,0,68.7,93.7
15,2013,Rondônia,Rural,Municipal,58.6,77.6,--
16,2013,Rondônia,Rural,Privada,100,81.8,81.8
17,2013,Rondônia,Rural,Pública,58.1,75.8,95.3
18,2013,Acre,Total,Total,57.3,68,90.6
19,2013,Acre,Total,Federal,100,96.2,100
20,2013,Acre,Total,Estadual,37,77.5,89.8
21,2013,Acre,Total,Municipal,58,52,--
22,2013,Acre,Total,Privada,57.3,81.9,93.6
23,2013,Acre,Total,Pública,57.3,67.3,90.3
24,2013,Acre,Urbana,Total,72.2,88.2,92.5
25,2013,Acre,Urbana,Federal,100,96.2,100
26,2013,Acre,Urbana,Estadual,70.6,92.4,91.8
27,2013,Acre,Urbana,Municipal,73.8,81.1,--
28,2013,Acre,Urbana,Privada,57.3,81.9,93.6
29,2013,Acre,Urbana,Pública,73.8,88.8,92.4
30,2013,Acre,Rural,Total,20.6,42.3,84.5
31,2013,Acre,Rural,Estadual,21.6,53.9,84.5
32,2013,Acre,Rural,Municipal,20.5,31,--
33,2013,Acre,Rural,Pública,20.6,42.3,84.5
34,2013,Amazonas,Total,Total,61.4,73.3,97.6
35,2013,Amazonas,Total,Federal,--,100,99.8
36,2013,Amazonas,Total,Estadual,100,97.4,98.3
37,2013,Amazonas,Total,Municipal,62.8,59.9,--
38,2013,Amazonas,Total,Privada,54.7,71.9,88.3
39,2013,Amazonas,Total,Pública,62.8,73.5,98.4
40,2013,Amazonas,Urbana,Total,67.8,90,98.3
41,2013,Amazonas,Urbana,Federal,--,100,99.8
42,2013,Amazonas,Urbana,Estadual,--,98.8,99.3
43,2013,Amazonas,Urbana,Municipal,71.4,86.1,--
44,2013,Amazonas,Urbana,Privada,54.7,72,89
45,2013,Amazonas,Urbana,Pública,71.4,92.6,99.3
46,2013,Amazonas,Rural,Total,36.1,40.7,95.3
47,2013,Amazonas,Rural,Estadual,100,86.5,95.6
48,2013,Amazonas,Rural,Municipal,36,35.3,--
49,2013,Amazonas,Rural,Privada,--,46.2,30
50,2013,Amazonas,Rural,Pública,36.1,40.7,95.6
51,2013,Roraima,Total,Total,54.5,62.5,77.3
52,2013,Roraima,Total,Federal,--,100,99.3
53,2013,Roraima,Total,Estadual,--,58.2,75.3
54,2013,Roraima,Total,Municipal,58.8,67.4,50
55,2013,Roraima,Total,Privada,35.8,70,81.9
56,2013,Roraima,Total,Pública,58.8,62.1,77
57,2013,Roraima,Urbana,Total,64.6,80.4,91
58,2013,Roraima,Urbana,Federal,--,100,100
59,2013,Roraima,Urbana,Estadual,--,84.1,91.2
60,2013,Roraima,Urbana,Municipal,74.8,78.2,--
61,2013,Roraima,Urbana,Privada,35.8,70,81.9
62,2013,Roraima,Urbana,Pública,74.8,81.5,92
63,2013,Roraima,Rural,Total,29.6,33.8,50.9
64,2013,Roraima,Rural,Federal,--,--,97.7
65,2013,Roraima,Rural,Estadual,--,29.8,47.4
66,2013,Roraima,Rural,Municipal,29.6,43,50
67,2013,Roraima,Rural,Privada,--,--,--
68,2013,Roraima,Rural,Pública,29.6,33.8,50.9
