,year,region,adm,hoursPerWeek_1,salaryPer40Hours_2
2,2014,Acre,Privada,30.88749,2798.14
5,2014,Acre,Pública,31.18284,3068.847
8,2014,Alagoas,Estadual,25.89546,2986.005
11,2014,Alagoas,Privada,29.34429,1691.669
14,2014,Alagoas,Pública,29.91291,2796.339
17,2014,Amazonas,Estadual,30.00246,3299.502
20,2014,Amazonas,Privada,33.99871,2493.046
23,2014,Amazonas,Pública,30.54688,2898.749
26,2014,Amapá,Estadual,39.97639,4620.894
29,2014,Amapá,Privada,29.24871,2278.96
32,2014,Amapá,Pública,40.76109,4035.334
35,2014,Bahia,Estadual,33.5949,4629.889
38,2014,Bahia,Privada,31.05637,1871.479
41,2014,Bahia,Pública,33.59086,3148.479
44,2014,Ceará,Estadual,28.51273,2695.843
47,2014,Ceará,Privada,32.63847,1555.473
50,2014,Ceará,Pública,32.42858,2345.189
53,2014,Distrito Federal,Estadual,35.58148,7067.356
56,2014,Distrito Federal,Privada,27.8141,3788.119
59,2014,Distrito Federal,Pública,35.63855,7077.727
62,2014,Espírito Santo,Estadual,35.43716,2467.51
65,2014,Espírito Santo,Privada,29.91372,2682.721
68,2014,Espírito Santo,Pública,28.60492,3217.508
71,2014,Goiás,Estadual,37.12074,3380.52
74,2014,Goiás,Privada,31.06127,2198.798
77,2014,Goiás,Pública,35.83592,3461.738
80,2014,Maranhão,Estadual,23.86003,4532.009
83,2014,Maranhão,Privada,31.40888,1804.323
86,2014,Maranhão,Pública,30.98139,2648.505
89,2014,Minas Gerais,Estadual,24.28712,3536.998
92,2014,Minas Gerais,Privada,28.78065,2841.049
95,2014,Minas Gerais,Pública,25.83928,3368.555
98,2014,Mato Grosso do Sul,Estadual,20.90986,5118.416
101,2014,Mato Grosso do Sul,Privada,29.09467,2433.373
104,2014,Mato Grosso do Sul,Pública,24.37808,4080.271
107,2014,Mato Grosso,Estadual,39.99952,1996.439
110,2014,Mato Grosso,Privada,28.6153,2590.96
113,2014,Mato Grosso,Pública,35.36853,2519.512
116,2014,Pará,Estadual,20.38301,10083.24
119,2014,Pará,Privada,27.94147,2386.86
122,2014,Pará,Pública,30.12731,4130.604
125,2014,Paraíba,Estadual,30.01993,2079.519
128,2014,Paraíba,Privada,26.66617,1651.906
131,2014,Paraíba,Pública,34.63247,2142.668
134,2014,Pernambuco,Estadual,35.35668,2520.027
137,2014,Pernambuco,Privada,31.0062,1806.03
140,2014,Pernambuco,Pública,35.92594,2542.193
143,2014,Piauí,Estadual,32.71861,2429.382
146,2014,Piauí,Privada,29.57527,1903.877
149,2014,Piauí,Pública,35.24557,2311.15
152,2014,Paraná,Estadual,27.57033,4504.6
155,2014,Paraná,Privada,28.48448,2545.998
158,2014,Paraná,Pública,26.16076,3940.535
164,2014,Rio de Janeiro,Privada,29.79468,2362.728
170,2014,Rio Grande do Norte,Estadual,40.0,2391.867
173,2014,Rio Grande do Norte,Privada,33.49051,1503.761
176,2014,Rio Grande do Norte,Pública,34.86901,2875.36
179,2014,Rondônia,Estadual,38.09227,2325.301
182,2014,Rondônia,Privada,30.17242,2474.675
185,2014,Rondônia,Pública,35.47299,2515.645
188,2014,Roraima,Estadual,30.05294,4229.209
191,2014,Roraima,Privada,33.58356,2235.998
194,2014,Roraima,Pública,31.43671,3614.506
197,2014,Rio Grande do Sul,Estadual,27.9383,3098.245
200,2014,Rio Grande do Sul,Privada,27.06247,2899.688
203,2014,Rio Grande do Sul,Pública,26.299,3597.537
206,2014,Santa Catarina,Estadual,25.93519,3929.248
209,2014,Santa Catarina,Privada,30.52736,2561.997
212,2014,Santa Catarina,Pública,29.37655,3409.481
215,2014,Sergipe,Estadual,39.92584,3911.759
218,2014,Sergipe,Privada,32.58484,1499.92
221,2014,Sergipe,Pública,38.54119,3542.874
224,2014,São Paulo,Estadual,33.4825,3139.581
227,2014,São Paulo,Privada,31.31786,3147.808
230,2014,São Paulo,Pública,32.43142,3627.964
233,2014,Tocantins,Estadual,39.99346,3202.979
236,2014,Tocantins,Privada,31.38921,2484.971
239,2014,Tocantins,Pública,37.1699,2909.364
2,2015,Acre,Privada,30.71078,2940.299
5,2015,Acre,Pública,31.40726,3240.782
8,2015,Alagoas,Estadual,29.72505,2283.946
11,2015,Alagoas,Privada,29.98713,1813.56
14,2015,Alagoas,Pública,30.63197,2706.904
17,2015,Amazonas,Estadual,30.00308,3208.356
20,2015,Amazonas,Privada,33.27685,2724.656
23,2015,Amazonas,Pública,30.18817,3005.785
26,2015,Amapá,Estadual,39.97872,5438.387
29,2015,Amapá,Privada,30.56882,2274.695
32,2015,Amapá,Pública,39.28194,4764.711
35,2015,Bahia,Estadual,33.73606,5174.678
38,2015,Bahia,Privada,30.72027,2107.237
41,2015,Bahia,Pública,33.3178,3597.158
44,2015,Ceará,Estadual,29.9698,2632.773
47,2015,Ceará,Privada,32.4757,1710.149
50,2015,Ceará,Pública,31.6334,2664.069
53,2015,Distrito Federal,Estadual,36.04393,7603.415
56,2015,Distrito Federal,Privada,27.39182,4328.794
59,2015,Distrito Federal,Pública,36.09977,7640.08
